"","x"
"1",4.66858492635894
"2",4.72314269352561
"3",4.77915554622392
"4",4.83516691130274
"5",4.89137296115634
"6",4.94809119232757
"7",5.00459683296463
"8",5.06279312131394
"9",5.12211239698131
"10",5.18232993293555
"11",5.24325535187753
"12",5.30448972259627
"13",5.36662211127259
"14",5.42966110072279
"15",5.49442491730866
"16",5.55877103257428
"17",5.6223596369801
"18",5.68816861696097
"19",5.75578982896339
"20",5.82450626448339
"21",5.89433413009247
"22",5.96647991691908
"23",6.03763114138285
"24",6.11066941746811
"25",6.18295312749789
"26",6.25694278841796
"27",6.33308581012067
"28",6.40928798907694
"29",6.48620825308853
"30",6.56528584377061
"31",6.64742947304803
"32",6.7284659549946
"33",6.80779303996084
"34",6.8917209017706
"35",6.97640541936866
"36",7.06393330765829
"37",7.15313461653564
"38",7.24546565231928
"39",7.33727975788983
"40",7.42914557978517
"41",7.52613575332776
"42",7.62246022492633
"43",7.72006572425657
"44",7.81929806444425
"45",7.92195279254867
"46",8.02615057274839
"47",8.13211901846513
"48",8.24173647600836
"49",8.35168570743191
"50",8.46574429535473
"51",8.58152582792123
"52",8.69933958858292
"53",8.82183343128625
"54",8.94522221598568
"55",9.07142643860208
"56",9.20020116455776
"57",9.33269945681925
"58",9.46778664930941
"59",9.60817969741733
"60",9.75244825567344
"61",9.90052057104374
"62",10.0493438031876
"63",10.2071152334544
"64",10.3665385792777
"65",10.5333470514032
"66",10.7032419843035
"67",10.8758216645865
"68",11.0528502203698
"69",11.2381599222001
"70",11.4249914834342
"71",11.6235698892138
"72",11.8247122771456
"73",12.0305887446354
"74",12.2445177669518
"75",12.4640444208388
"76",12.6875905802741
"77",12.9164362352788
"78",13.1584241755678
"79",13.4025023374581
"80",13.652316092229
"81",13.910360934292
"82",14.1758618188071
"83",14.4459777625049
"84",14.7236709188367
"85",15.0128148487934
"86",15.3065651313355
"87",15.6092197547452
"88",15.9141295004744
"89",16.2310563809667
"90",16.5558386128853
"91",16.8838271316147
"92",17.2223457456315
"93",17.5714291060591
"94",17.9233726952607
"95",18.2823617614925
"96",18.6551839068934
"97",19.0348772352292
"98",19.419901724854
"99",19.8107865304883
"100",20.2188461534463
